name,email,phone number,city,website,google maps url,facebook,instagram,reviews number
Bright Smile Dental,hello@brightsmileatx.com,+1 512-555-0142,Austin,https://brightsmileatx.com,https://maps.google.com/?cid=123456789,https://facebook.com/brightsmileatx,,212
Lone Star Family Dental,contact@lonestardental.com,+1 214-555-0188,Dallas,https://lonestardental.com,https://maps.google.com/?cid=234567890,,,47
Hill Country Orthodontics,info@hcortho.com,+1 210-555-0123,San Antonio,https://hcortho.com,https://maps.google.com/?cid=345678901,,https://instagram.com/hcortho,389
Gulf Coast Dental Care,care@gulfcoastdental.com,+1 713-555-0177,Houston,https://gulfcoastdental.com,https://maps.google.com/?cid=456789012,https://facebook.com/gulfcoastdental,,96
Prairie Dental Group,hello@prairiedental.com,+1 806-555-0150,Lubbock,https://prairiedental.com,https://maps.google.com/?cid=567890123,,,31
Capital City Smiles,appointments@capitalcitysmiles.com,+1 512-555-0199,Austin,https://capitalcitysmiles.com,https://maps.google.com/?cid=678901234,https://facebook.com/capitalcitysmiles,,184
Texas Dental Center,info@texasdentalcenter.com,+1 972-555-0166,Plano,https://texasdentalcenter.com,https://maps.google.com/?cid=789012345,,https://instagram.com/texasdentalcenter,67
Smiles of Pearland,smile@smilesofpearland.com,+1 713-555-0188,Pearland,https://smilesofpearland.com,https://maps.google.com/?cid=890123456,,,23
North Texas Dental,ntdental@outlook.com,+1 817-555-0144,Fort Worth,https://northtexasdental.net,https://maps.google.com/?cid=901234567,https://facebook.com/northtexasdental,,58
Rosewood Family Dentistry,hello@rosewooddentistry.com,+1 469-555-0111,McKinney,https://rosewooddentistry.com,https://maps.google.com/?cid=012345678,,,142
Austin Cosmetic Dentistry,info@austincosmetic.com,+1 512-555-0177,Austin,https://austincosmetic.com,https://maps.google.com/?cid=112233445,,https://instagram.com/austincosmetic,301
Alamo City Dental,contact@alamocitydental.com,+1 210-555-0155,San Antonio,https://alamocitydental.com,https://maps.google.com/?cid=223344556,https://facebook.com/alamocitydental,,89
Houston Smile Studio,smile@houstonsmlilestudio.com,+1 713-555-0133,Houston,https://houstonsmilestudio.com,https://maps.google.com/?cid=334455667,,,76
Denton Family Dental,info@dentonfamilydental.com,+1 940-555-0122,Denton,https://dentonfamilydental.com,https://maps.google.com/?cid=445566778,,,34
Woodlands Dental Group,hello@woodlandsdentalgroup.com,+1 281-555-0199,The Woodlands,https://woodlandsdentalgroup.com,https://maps.google.com/?cid=556677889,https://facebook.com/woodlandsdentalgroup,https://instagram.com/woodlandsdentalgroup,218
Laredo Smiles,appointments@laredosmiles.com,+1 956-555-0144,Laredo,https://laredosmiles.com,https://maps.google.com/?cid=667788990,,,41
Abilene Family Dentistry,info@abilenefamilydentistry.com,+1 325-555-0166,Abilene,https://abilenefamilydentistry.com,https://maps.google.com/?cid=778899001,,,29
Corpus Christi Dental,hello@ccdentalcare.com,+1 361-555-0133,Corpus Christi,https://ccdentalcare.com,https://maps.google.com/?cid=889900112,https://facebook.com/ccdentalcare,,63
Killeen Smiles Dental,killeensmiles@gmail.com,+1 254-555-0177,Killeen,https://killeensmiles.com,https://maps.google.com/?cid=990011223,,,18
Midland Dental Associates,info@midlanddental.com,+1 432-555-0155,Midland,https://midlanddental.com,https://maps.google.com/?cid=101122334,,,52
